stadiumXmonth,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
22|2025-11,162,110,21,0.12665036973848126,0.12962962962962962,1.0235234993573268,6.085185185185185,0.7888203017832647,0.09223535644473926,0.1791917158720778,0.7092839594219246,1.3529649503295569,0.5464312594237599,1.044279711431043
11|2025-05,192,113,26,0.13478126252921074,0.13541666666666666,1.0047143358470783,5.815104166666667,0.7874620225694444,0.09983126360541061,0.1811342522377118,0.7410909253354627,1.2774458756286249,0.5792874985298222,1.001191679666307
10|2025-09,100,62,13,0.1277207576988538,0.13,1.0178455118980763,6.0520000000000005,0.7867600000000001,0.08429987745807718,0.1951937359214718,0.6315181958089829,1.4356013487606953,0.48799265626245975,1.109156380886784
1|2026-04,80,51,10,0.12121464143389464,0.125,1.0312285588714936,6.286250000000001,0.7857812500000001,0.07620617427329049,0.19832854862225294,0.5795294404199175,1.5685126283584332,0.44155489453758795,1.192978451424397
23|2026-01,194,113,26,0.13357598359027087,0.13402061855670103,1.0033287044158627,5.860824742268041,0.7854713572111807,0.09878470594793155,0.179324098173605,0.7279948282026499,1.292442602639493,0.5667904882641347,1.0097925111706159
11|2026-02,124,81,16,0.12773703313770993,0.12903225806451613,1.0101397761869877,6.087096774193549,0.7854318418314257,0.08733035849624812,0.18657670593040818,0.642058766571307,1.381495123116653,0.49932838331411006,1.072373182156261
16|2025-06,216,131,29,0.13234108470851316,0.13425925925925927,1.0144941728033359,5.8435185185185174,0.7845464677640603,0.10059519134161243,0.17697227446355607,0.7426947138991585,1.2954740458419096,0.575868978430509,0.9995014070029304
18|2025-09,75,38,10,0.1320720468559336,0.13333333333333333,1.0095499881119854,5.857333333333333,0.7809777777777778,0.08139760512328956,0.21080218455463381,0.6024372792261348,1.4468478657164088,0.46706695835586803,1.1199951907676822
5|2026-03,145,95,19,0.1303324001796578,0.1310344827586207,1.005386861425057,5.940689655172414,0.778435196195006,0.09162636100682044,0.183959392257383,0.6668283244200987,1.338999702890383,0.514999373829098,1.0365502197256657
5|2026-01,126,86,16,0.12544482629830742,0.12698412698412698,1.0122707387083394,6.118253968253969,0.7769211388259007,0.08591855214469929,0.1837321755760815,0.6584132337421249,1.4008653443477646,0.5052931597013188,1.073912544623343
17|2025-12,184,120,23,0.12289033737808433,0.125,1.0171670341780013,6.21032608695652,0.776290760869565,0.09025353385191738,0.17061468973176247,0.7085808203179813,1.343926772463717,0.5404723718945658,1.0261830234690454
