stadiumXodds_band,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,mean_odds_low,mean_odds_high,ev_all_buy,ev_actual_low,ev_actual_high,ev_actual_corrected,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi,ev_corrected_boot_lo,ev_corrected_boot_hi
"7|[1,5)",6426,2219,1440,0.3085712656473975,0.22408963585434175,0.7262167959294291,2.8479614067849366,2.8479614067849366,10.962231559290384,0.5810768751945222,0.5810768751945222,1.9776844070961719,0.9232457205104264,0.21565071143489248,0.23276079597803526,0.7044139794028501,0.748020162628804,0.5618464382774233,0.6003412346886362,0.8848538287978392,0.9623863334158308
"19|[1,5)",6028,2061,1354,0.30960263833080337,0.22461844724618446,0.7255055979406246,2.8364299933643,2.8364299933643,6.677521566025216,0.5747013934970139,0.5747013934970139,1.262043795620438,0.7431002820172528,0.21590171050662857,0.23358227174423332,0.7044579461052698,0.7477286740923469,0.5561877649867442,0.5946644597977946,0.7176253014362283,0.7702352648609083
"10|[5,10)",1287,1029,121,0.13114858628849063,0.09401709401709402,0.7168746280671482,6.219735819735819,6.219735819735819,11.626107226107225,0.5745920745920746,0.5745920745920746,1.0276612276612276,0.6855940170940171,0.0814743089546016,0.10826322043425711,0.6126657970146506,0.8162006324937631,0.49220874844776413,0.6566380818020706,0.5860292664214999,0.7855434856307614
"22|[5,10)",1161,923,109,0.13168704146848087,0.09388458225667529,0.712937136484659,6.191386735572782,6.191386735572782,13.617657192075797,0.569250645994832,0.569250645994832,1.1537467700258397,0.7124521963824288,0.08073357723382082,0.10892397376400303,0.6105594517835253,0.8183563233249767,0.4861873906428301,0.6558163870836506,0.6025491075966037,0.8263936497102179
"23|[5,10)",1148,945,105,0.13066883693538003,0.09146341463414634,0.6999634861629476,6.239459930313589,6.239459930313589,12.422038327526133,0.5525261324041811,0.5525261324041811,0.9784843205574915,0.6568858885017421,0.0784131617482515,0.10643477321138467,0.601438059113961,0.8043353360367869,0.4744187080735933,0.6346034953767783,0.5625023048908692,0.7568495370854125
"24|[1,5)",6338,2246,1351,0.30687797093707714,0.21315872514988957,0.6946041923406618,2.8619911644051754,2.8619911644051754,5.410949826443673,0.5502366677185232,0.5502366677185232,1.0241085515935626,0.6663352792679078,0.20482056014199285,0.2217416772806755,0.6736610188892977,0.7177408694946178,0.5316628738617982,0.5700544302336095,0.64308153113815,0.6898453982376641
"15|[5,10)",1348,1099,121,0.13175176386046675,0.0897626112759644,0.6813010212981174,6.191913946587538,6.191913946587538,14.38672106824926,0.5406528189910978,0.5406528189910978,1.4685459940652819,0.7679866468842729,0.07776498936046036,0.10340369291822601,0.5889829322769844,0.7752715939955451,0.4679146903163663,0.6141763428349607,0.6344190771317523,0.9252886626007465
"20|[5,10)",1336,1068,117,0.13310913796554447,0.0875748502994012,0.6579176429049529,6.124550898203593,6.124550898203593,12.003892215568863,0.5277694610778443,0.5277694610778443,1.0612275449101796,0.6584666916167664,0.07567318301399131,0.10114355208621117,0.5644258451538978,0.7565503150460452,0.45048674635979497,0.605105174634946,0.5582819312671731,0.758350386319282
"19|[5,10)",1206,1006,107,0.13160598143434715,0.08872305140961857,0.6741566792226604,6.196434494195688,6.196434494195688,13.682089552238805,0.5263681592039801,0.5263681592039801,0.9606965174129353,0.6327786069651741,0.07615945367930683,0.10312783810792202,0.5748061230933297,0.7797354618252461,0.4459864966186199,0.6100272678263879,0.5357648452919944,0.7348532178461784
"18|[5,10)",1183,974,99,0.13119759323044222,0.08368554522400676,0.6378588445370118,6.218850380388842,6.218850380388842,14.044378698224852,0.5098055790363482,0.5098055790363482,1.032967032967033,0.6379801352493659,0.07137366501112397,0.09789731846544583,0.5447793892858233,0.7402436014290145,0.43576019239721697,0.5912788899856781,0.5444659713694185,0.7416335233188335
"21|[5,10)",1256,1033,98,0.13267184623905728,0.07802547770700637,0.5881087805653558,6.141321656050955,6.141321656050955,15.866719745222928,0.46656050955414013,0.46656050955414013,0.9945859872611466,0.5959267515923568,0.0664645452410626,0.09140044906794367,0.49704658366095383,0.6823135898979596,0.393605149686451,0.5434369546940162,0.5001631431243717,0.6947507224118423
"7|[5,10)",1325,1111,87,0.13210036636775402,0.06566037735849056,0.4970491692331778,6.171773584905661,6.171773584905661,21.473886792452827,0.3969811320754717,0.3969811320754717,1.151169811320755,0.5817573584905661,0.055329485540044486,0.07776142782195496,0.408978603695867,0.5842920360923354,0.3268113144109066,0.4667848319481896,0.46927404159937963,0.6965483204958732
